ExtractedInformation,CourseCode,CourseName,Module,CourseCode_and_Title,CourseType,Instructor,TutorialGroup,Turorialtime,Final,CombinedClassInformation
"Here is the extracted information from the course outline:

- **Instructor:** Prof. Liao Wang
- **Email:** lwang98@hku.hk
- **Office:** KKL 806
- **Course Description:** The goal of this course is twofold. The primary objective is to equip students with analytical foundation and hands-on skills in solving investment and trading problems. Implementation of the analytics (e.g., building term structure models, portfolio construction, pricing options by simulation, etc.) by developing models in spreadsheet/VBA or Python will also be emphasized. The secondary objective is to introduce Financial Technology (“FinTech�? --- one of the most promising sectors in financial industry. We will have an overview on the active product areas in FinTech, including capital raising platforms and digital wealth management. Digital currency and the closely related technology (blockchain) will also be highlighted.
- **Assessments:**
  - **A1. Assignments:** 40% (Includes one coding problem, 2-3 computational problems, and 2-3 questions based on assigned reading)
  - **A2. Final Exam:** 50%
  - **A3. In-class participation:** 10%
  - **Total:** 100%",MSBA7017,Financial Engineering,5,"MSBA7017
Financial Engineering","Elective
(MC-DE)",Prof. Liao Wang,,To be announced,"Final exam Date: Apr 16, 2025 (Weds)
Time: 14:00 - 17:00
Venue: CP-Classroom EFG","A: Monday & Thursday
9:30-12:30
Mar 10, 13, 17, 22, 24, 27, 31, 2025
Apr 3, 7, 10, 2025
Venue: CP: LT104
(Mar 22:
18:30-21:30)
B: Monday & Thursday
14:00-17:00
Mar 10, 13, 17, 22, 24, 27, 31, 2025
Apr 3, 7, 10, 2025
Venue: CP: LT104
(Mar 22 - CP: Classroom J
14:00-17:00)"
"**Instructor:** Dr. WANG, Xin (王鑫)  
**Email:** wangxacy@hku.hk  
**Office:** Room 1215, KK Leung Building, the University of Hong Kong  

**Course Description:**  
This course offers an in-depth analysis of the internal management accounting systems and their use in firms�?decision-making, planning, and control. Major topics include the different methods of product costing, differential analysis for decision-making, cost allocation among divisions, the design of planning and budgeting systems, and performance measurement issues. Some internal control issues for multi-segment corporations will be discussed. Topics of corporate ethics are incorporated into the discussions.

**Assessments:**  
1. Class attendance and discussion participation - 15%  
2. Individual homework assignments - 15%  
3. In-class exercises - 30%  
4. Final Exam - 40%  
Total: 100%  

**Assessment Details:**
- **Class Participation and Homework Assignments (15% + 15%)**: Active participation in lectures and tutorials is encouraged. Absenteeism will negatively affect performance. Homework assignments must be completed on time.
- **In-class Exercises (30%)**: Conducted during the teaching period to reinforce key knowledge.
- **Final Exam (40%)**: A closed-book comprehensive examination covering all course chapters.",MSBA7020,Accounting Analytics for Managerial Decisions,3,"MSBA7020
Accounting Analytics for
Managerial Decisions",Elective,Prof. Xin Wang,,,"Time: 19:00 - 21:00
Venues at CP: LT104, Classroom ABC, Classroom EFG,
Classroom H, A205-1&2
Final exam Date: Jan 18, 2025 (Sat)
Time: 10:00 - 12:00
Venues at CP: Classroom H, Classroom D","A: Wednesday &
Saturday
9:30-12:30
Nov 27, 30, 2024
Dec 4, 7, 11, 14, 18, 2024
Jan 4, 8, 11, 2025
Venue: CP: LTB
(Dec 14 - CP: Classroom J)"
"Here is the extracted information from the course outline:

- **Instructor:** Prof. Zhang, Wei  
- **Email:** wzhang15@hku.hk  
- **Office:** KK 814  
- **Course Description:** This course equips students with the fundamental skills and knowledge required to excel in the rapidly evolving, data- and AI-driven business world. The analytical methods enable businesses to optimize their resources and operations, identify the most efficient pathways to achieve desired outcomes, and adapt to dynamic market conditions. In addition to the traditional optimization methods, Reinforcement Learning has become a cornerstone of AI development, allowing systems to learn and adapt based on their experiences, resulting in improved decision-making and automation in various industries. Causal Decision Making and Smart Predict then Optimize approaches are essential for making more informed, data-driven decisions that drive business growth and innovation. Students will have an opportunity to apply the techniques learned in a group project.  
- **Assessments:**  
  - A1. In-class and forum participation - 20%  
  - A2. Assignments - 40%  
  - A3. Group Project - 40%  
  - Total: 100%  ",MSBA7021,Optimization and Reinforcement Learning,3,"MSBA7021
Optimization and
Reinforcement Learning","Elective
(AI-M)",Prof. Wei Zhang,,"Dec 11 18:30 - 21:30 LT104
Jan 11 18:30 - 21:30 LT104","Presentation: Jan 15, 2025 (Weds)
Time: 9:30 - 12:30
Venue: CP-LT104","A: Wednesday &
Saturday
14:00-17:00
Nov 27, 30, 2024
Dec 4, 7, 11, 14, 18, 2024
Jan 4, 8, 11, 2025
Venue: CP: LT104
(Nov 30, Dec 7 &11 - MC: KB223
Dec 14 - CP: Classroom EFG
Jan 8 - CP: Classroom J
Jan 11- CP: Classroom LTB)"
"Here is the extracted information from the course outline:

- **Instructor**: Professor Zhixi Wan
- **Email**: zhixiwan@hku.hk
- **Office**: KKL 803
- **Course Description**: The course introduces students to the basic knowledge of geospatial data, systems, and methods, helping them develop a mindset and toolbox to tackle challenging business problems related to location. It aims to equip students with knowledge of Geographic Information Systems (GIS) and business analytical skills to analyze data with geospatial tags and features, including integration and manipulation of data layers, descriptive analysis, predictive analysis, and prescriptive analysis. Students will gain problem-solving experience with applications in various business contexts.
- **Assessments**:
  - Class Participation (20%) (Individual)
  - Assignment (50%)
    - Work on assigned problems and answer certain questions (40%) (Individual)
    - In-class mini case competition (10%) (Group)
  - Group project (30%) (Group)
    - Project topics proposed by project members (with lecturer’s approval)
    - Report project by a StoryMap.",MSBA7023,Geospatial and Business Analytics,4,"MSBA7023
Geospatial and Business
Analytics","Elective
(MC-AM)",Prof. Zhixi Wan,,,,"A: Tuesday & Friday
18:30-21:30
Jan 21, 24, 2025
Feb 4, 7, 11, 14, 18, 21, 25, 28, 2025
Venue: CP: Classroom H"
"Here is the extracted information from the course outline:

- **Instructor:** Michael Chau
- **Email:** mchau@business.hku.hk
- **Office:** KK 1324
- **Course Description:** The ability to store, retrieve, and manipulate data using modern database systems is essential to the success of business analytics projects. This course aims to introduce the fundamental principles of the design, development, and administration of various database models for students with no prior experience and knowledge in database management. Students will learn the basic concepts involved in the design and management of relational databases, dimensional databases, and NoSQL databases for business analytics.
- **Assessments:**
  - A1. In-class & forum participation: 20%
  - A2. Assignments: 40%
  - A3. Final exam: 40%",MSBA7024,Databas Design and Management,3,"MSBA7024
Database Design and
Management
(equivalent to MACC7020)
*not open to students who have
taken or are taking MACC7020","Elective
(MC-AM)",Prof. Michael Chau,,,"Final exam Date: Jan 19, 2025 (Sun)
Time: 14:00 - 17:00
Venues at CP: LT104, Classroom ABC, Classroom EFG,
Classroom D","A: Tuesday & Friday
9:30-12:30
Nov 29, 2024
Dec 3, 6, 10, 13, 20, 2024
Jan 3, 7, 10, 14, 2025
Venue: CP: LT104
(Dec 20: HKU Admiralty campus ATC-B2)
B: Tuesday & Friday
14:00-17:00
Nov 29, 2024
Dec 3, 6, 10, 13, 20, 2024
Jan 3, 7, 10, 14, 2025
Venue: CP: Class D -
Nov 29, 2024
Dec 3, 10, 2024
Jan 3, 7, 2025
CP: LTB -
Dec 6, 13, 2024
Jan 10, 2025
CP: LT104 -
Jan 14, 2025
(Dec 20: HKU Admiralty campus ATC-B2)
C: Tuesday & Friday
18:30-21:30
Nov 29, 2024
Dec 3, 6, 10, 13, 20, 2024
Jan 3, 7, 10, 14, 2025
Venue: CP: LT104"
"Here is the extracted information from the course outline:

- **Instructor:** Prof. Jing Ouyang
- **Email:** jingoy@hku.hk
- **Office:** KK Leung Building 1020
- **Course Description:** The newly emerging capability to rapidly deploy and iterate online controlled experiments to assist decision makings in organizations is one of the most significant innovations in today’s technology industry. As more and more social interactions, decisions, opinions, and transactions are mediated by online platforms, digital experiments are becoming increasingly crucial for firms to understand their user behaviors and make product decisions. This course will cover the most cutting-edge digital experimentation methods used in daily operations at large technology firms, such as Tencent, Alibaba, Facebook, and LinkedIn. We will also share the key lessons and pitfalls encountered in practice. Topics include the statistics behind experiments, experimental design, methods of analyzing experiments in a trustworthy way, advanced topics including sequential testing and multi-armed bandit, and recent development in digital experimentation. Students will also learn how to conduct and analyze online experiments using programming languages, such as Python, in assignments and a course project.
- **Assessments:**
  - A1. Participation: 10%
  - A2. Assignments: 40%
  - A3. Final project: 50%",MSBA7025,Digital Experimentation Methods,4,"MSBA7025
Digital Experimentation
Methods","Elective
(MC-AM)",Prof. Jing Ouyang,,"Jan 25 17:00 - 19:00 LT104
Feb 12 17:00 - 19:00 LT104
Feb 22 17:00 - 19:00 LT104
Mar 1 17:00 - 19:00 LT104","Presentation: Mar 3, 2025 (Mon)
Time: 09:30-12:30
Venue: CP-LT104","A: Monday & Thursday
9:30-12:30
Jan 20, 23, 2025
Feb 3, 6, 10, 13, 17, 20, 24, 27, 2025
Venue: CP: LT104
B: Wednesday &
Saturday
9:30-12:30
Jan 22, 25, 2025
Feb 5, 8, 12, 15, 19, 22, 26, 2025
Mar 1, 2025
Venue: CP: LT104"
,MSBA7026,,5,"MSBA7026
Big Data Analytics on the Cloud","Elective
(AI-A)",Prof. Zhepeng Li,,"Mar 19 14:00 - 15:30 LT104
Mar 29 14:00 - 15:30 LT104
Apr 9 14:00 - 15:30 LT104
Apr 16 14:00 - 15:30 LT104",Final project,"A: Tuesday & Friday
14:00-17:00
Mar 11, 14, 18, 22, 25, 28, 2025
Apr 1, 8, 11, 15, 2025
Venue: CP: LT104
(Mar 22 - CP: Classroom EFG
18:30-21:30)
B: Tuesday & Friday
18:30-21:30
Mar 11, 14, 18, 21, 25, 28, 2025
Apr 1, 8, 11, 15, 2025
Venue: CP: LT104"
"Here is the extracted information from the course outline:

- **Instructor:** Zhengli Wang  
- **Email:** wzl1@hku.hk  
- **Office:** KK908  
- **Course Description:** This course provides systematic training of machine learning, which is the foundation and core of data analytics. It covers various topics such as machine learning system design, nonlinear regressions, advanced tree-based methods, recommendation systems, and anomaly detection.  
- **Assessments:**  
  - A1. Participation: 20% (Attendance & discussions)  
  - A2. Assignments: 40% (Effort and accuracy)  
  - A3. Final project: 40% (Effort and accuracy)  
  - Total: 100%  ",MSBA7027,Machine Learning,3,"MSBA7027
Machine Learning","Elective
(AI-M)
(MC-AM)",Prof. Zhengli Wang,,"Dec 10 14:00 - 16:00 LTB
Dec 11 18:30 - 20:30 LTA
Jan 7 14:00 - 16:00 LTB
Jan 8 18:30 - 20:30 Class D","Final exam Date: Jan 17, 2025 (Fri)
Time: 18:30 - 21:00
Venues at CP: LT104, Classroom ABC, Classroom EFG,
Classroom D","A: Monday & Thursday
9:30-12:30
Nov 28, 2024
Dec 2, 5, 9, 12, 16, 21, 2024
Jan 2, 6, 9, 2025
Venue: CP: LT104
(Dec 21 - CP: Classroom ABC 14:00-17:00 )
B: Monday & Thursday
14:00-17:00
Nov 28, 2024
Dec 2, 5, 9, 12, 16, 19, 2024
Jan 2, 6, 9, 2025
Venue: CP: LT104
(Dec 19 - CP: Classroom H)
C: Wednesday &
Saturday
9:30-12:30
Nov 27, 30, 2024
Dec 4, 7, 11, 14, 18, 2024
Jan 4, 8, 11, 2025
Venue: CP: LT104
(Dec 14 - CP: Classroom FG)"
"Here is the extracted information from the course outline:

- **Instructor:** Prof. Xiao Lei
- **Email:** xlei@hku.hk
- **Office:** KK Leung 817
- **Course Description:** Deep learning being the core of artificial intelligence, has become more and more important. This course provides a broad introduction to deep learning, including fundamental concepts, state-of-the-art algorithms for data analysis, and their application to real cases.
- **Assessments:**
  - A1. Participation: 10%
  - A2. Assignments: 40%
  - A3. Final project: 50%",MSBA7028,Deep Learning,4,"MSBA7028
Deep Learning","Elective
(AI-M)",Prof. Xiao Lei,,To be announced,"Presentation: Mar 4, 2025 (Tues)
Time: 14:00-18:00
Venue: CP-LT104","A: Tuesday & Friday
14:00-17:00
Jan 21, 24, 2025
Feb 4, 7, 11, 14, 18, 21, 25, 28, 2025
Venue: CP: LT104"
"**Instructor:** Xin Tong  
**Email:** xint@hku.hk  
**Office:** After class or by appointment  

**Course Description:**  
Storytelling with data is essential in business because it transforms complex data into understandable, impactful narratives that drive decision-making. Data alone can be overwhelming or meaningless to stakeholders who may not be experts in analytics. By using storytelling techniques, businesses can contextualize insights, connect with audiences on an emotional level, and convey the relevance of data in a way that motivates action. Well-crafted data stories help simplify trends, highlight key metrics, and reveal patterns, making information more accessible and actionable for teams, executives, and clients alike.

**Assessments:**  
- **Class Participation:** 15 points (15% of overall grade)  
- **Group Project:** 35 points (35% of overall grade)  
- **Class Quizzes:** 50 points (50% of overall grade)  
- **Total:** 100 points (100% of overall grade)  

**Details on Assessments:**  
- **Class Participation:** Based on the quality of a student’s contribution to lectures and after-class discussions.  
- **Class Quizzes:** 5-question quizzes in 10 classes, with the lowest quiz score dropped. Quizzes are closed book, and no make-up or special arrangements are allowed unless under irresistible circumstances.  
- **Group Project:** Description to be released later; groups formed voluntarily with the same score for all members. Group presentation is scheduled for April 22, 2025.",MSBA7029,Storytelling with data,5,"MSBA7029
Storytelling with Data","Elective
(MC-AM)",Prof. Xin Tong,,,"Presentation: Apr 22, 2025 (Tues)
Time: 09:30-12:30
Venue: CP-LT104","A: Tuesday & Friday
9:30-12:30
Mar 11, 14, 18, 21, 25, 28, 2025
Apr 1, 8, 11, 15, 2025
Venue: CP: LT104
(Mar 21 - CP: Classroom FG)"
